epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,129.132,0.33098,0.35867,0.86036,0.04348,0.05,0.0273,0.00819,2.19104,4.48429,2.75235,0.000515,0.000515,0.000515
77,130.715,0.34898,0.35841,0.83309,0.04348,0.05,0.02837,0.00851,2.19506,4.51472,2.74919,0.0004952,0.0004952,0.0004952
78,132.327,0.33453,0.38232,0.8636,0.05263,0.05,0.03276,0.00983,2.20637,4.45584,2.79757,0.0004754,0.0004754,0.0004754
79,133.974,0.32297,0.35512,0.83375,0.125,0.15,0.07268,0.03529,2.21212,4.42656,2.75583,0.0004556,0.0004556,0.0004556
80,135.671,0.3292,0.34302,0.84583,0.1,0.15,0.06354,0.03023,2.17284,4.38848,2.72696,0.0004358,0.0004358,0.0004358
81,137.321,0.33893,0.38917,0.85529,0.06452,0.1,0.04169,0.0142,2.20683,4.38791,2.76016,0.000416,0.000416,0.000416
82,138.966,0.2819,0.31729,0.80837,0.04545,0.05,0.03082,0.00925,2.13934,4.42464,2.69739,0.0003962,0.0003962,0.0003962
83,140.605,0.29621,0.31282,0.83406,0.07143,0.05,0.04179,0.01254,2.13188,4.45677,2.64766,0.0003764,0.0003764,0.0003764
84,142.53,0.28502,0.3046,0.83966,0.08333,0.05,0.0475,0.01425,2.19323,4.45693,2.77172,0.0003566,0.0003566,0.0003566
85,144.144,0.32899,0.33293,0.83159,0.1,0.05,0.057,0.0171,2.21749,4.445,2.81112,0.0003368,0.0003368,0.0003368
86,145.795,0.34757,0.33775,0.85966,0.09091,0.05,0.05489,0.02195,2.28656,4.43058,2.82608,0.000317,0.000317,0.000317
87,147.496,0.30338,0.30811,0.85425,0.08333,0.05,0.049,0.0196,2.25976,4.40638,2.78302,0.0002972,0.0002972,0.0002972
88,149.166,0.35738,0.41981,0.85761,0.07692,0.05,0.04817,0.01445,2.29808,4.41048,2.80825,0.0002774,0.0002774,0.0002774
89,150.724,0.27852,0.31427,0.8308,0.09091,0.05,0.05264,0.02105,2.29592,4.42586,2.81559,0.0002576,0.0002576,0.0002576
90,152.342,0.26025,0.32362,0.80452,0,0,0,0,2.30325,4.45463,2.82026,0.0002378,0.0002378,0.0002378
91,155.168,0.21602,0.30648,0.78077,0,0,0,0,2.2463,4.48039,2.74354,0.000218,0.000218,0.000218
92,156.792,0.20724,0.27077,0.79923,0,0,0,0,2.27803,4.47276,2.77128,0.0001982,0.0001982,0.0001982
93,158.4,0.24039,0.29453,0.81088,0,0,0,0,2.29281,4.48543,2.78669,0.0001784,0.0001784,0.0001784
94,159.999,0.23995,0.33748,0.83632,0,0,0,0,2.34648,4.47935,2.81417,0.0001586,0.0001586,0.0001586
95,161.921,0.21703,0.33746,0.78997,0,0,0,0,2.44898,4.44339,2.87928,0.0001388,0.0001388,0.0001388
96,163.534,0.22482,0.30342,0.83686,0,0,0,0,2.55481,4.40114,3.02564,0.000119,0.000119,0.000119
97,165.068,0.21434,0.4424,0.79931,0,0,0,0,2.58918,4.40027,3.03531,9.92e-05,9.92e-05,9.92e-05
98,166.697,0.23286,0.34907,0.82469,0,0,0,0,2.6656,4.41707,3.10791,7.94e-05,7.94e-05,7.94e-05
99,168.328,0.24059,0.30184,0.83559,0,0,0,0,2.66661,4.4465,3.06399,5.96e-05,5.96e-05,5.96e-05
100,170.057,0.22901,0.3208,0.77095,0,0,0,0,2.68843,4.43714,3.07276,3.98e-05,3.98e-05,3.98e-05
