Thu Jul 10 23:50:00 2025    results.prof

         2014028 function calls (1980186 primitive calls) in 77.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.004    0.000    2.297    0.032 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:140(__init__)
        1    0.000    0.000    2.264    2.264 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/backend_bases.py:1(<module>)
        1    0.000    0.000    2.184    2.184 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/text.py:1(<module>)
      266    0.004    0.000    2.178    0.008 /usr/lib/python3.10/re.py:249(compile)
281799/279072    2.093    0.000    2.132    0.000 {built-in method builtins.len}
        1    0.000    0.000    1.996    1.996 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axes/_axes.py:1(<module>)
       54    0.011    0.000    1.917    0.035 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_axis_nan_policy.py:425(axis_nan_policy_decorator)
       72    0.025    0.000    1.886    0.026 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:388(_parse)
        1    0.000    0.000    1.822    1.822 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/collections.py:1(<module>)
        1    0.000    0.000    1.788    1.788 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/linalg/_basic.py:1(<module>)
        1    0.000    0.000    1.776    1.776 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/linalg/_decomp.py:1(<module>)
        1    0.000    0.000    1.773    1.773 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_util.py:1(<module>)
      345    0.015    0.000    1.764    0.005 /usr/lib/python3.10/sre_parse.py:944(parse)
 1095/345    0.064    0.000    1.724    0.005 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
 1367/372    0.414    0.000    1.689    0.005 /usr/lib/python3.10/sre_parse.py:494(_parse)
        1    0.000    0.000    1.662    1.662 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_array_api.py:1(<module>)
        1    0.000    0.000    1.624    1.624 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/array_api_compat/numpy/__init__.py:1(<module>)
