Thu Jul 10 07:49:21 2025    results.prof

         4680484 function calls (4609963 primitive calls) in 79.901 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.373    4.373 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/colorbar.py:1(<module>)
      124    0.010    0.000    4.368    0.035 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_library/custom_ops.py:589(_register_to_dispatcher)
      124    0.003    0.000    4.261    0.034 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_library/custom_ops.py:48(custom_op)
     9119    0.157    0.000    4.256    0.000 /usr/lib/python3.10/re.py:288(_compile)
     7580    0.165    0.000    4.253    0.001 /usr/lib/python3.10/inspect.py:725(getdoc)
        1    0.001    0.001    4.161    4.161 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/variables/builder.py:1(<module>)
        1    0.001    0.001    4.083    4.083 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/__init__.py:1(<module>)
     2387    0.068    0.000    4.078    0.002 /usr/lib/python3.10/posixpath.py:392(realpath)
      444    0.027    0.000    3.976    0.009 /usr/lib/python3.10/sre_compile.py:783(compile)
        1    0.000    0.000    3.944    3.944 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/side_effects.py:1(<module>)
        1    0.000    0.000    3.938    3.938 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/codegen.py:1(<module>)
        1    0.000    0.000    3.502    3.502 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/variables/functions.py:1(<module>)
        1    0.000    0.000    3.442    3.442 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/fsdp/__init__.py:1(<module>)
        1    0.000    0.000    3.415    3.415 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axes/__init__.py:1(<module>)
71384/68853    0.512    0.000    3.412    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    3.404    3.404 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/distributions.py:1(<module>)
     3240    0.244    0.000    3.386    0.001 <frozen importlib._bootstrap>:921(_find_spec)
       47    0.001    0.000    3.367    0.072 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_prims/__init__.py:486(_make_elementwise_unary_prim)
      635    0.009    0.000    3.255    0.005 /usr/lib/python3.10/re.py:249(compile)
14052/13232    0.140    0.000    3.251    0.000 /usr/lib/python3.10/typing.py:306(inner)
