epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,150.411,0.38276,0.35752,0.8574,0.55624,0.85,0.54494,0.3954,1.03263,1.5068,1.2659,0.0010298,0.0010298,0.0010298
100,151.885,0.42943,0.35401,0.90686,0.55249,0.75,0.60493,0.44014,1.0296,1.4847,1.26213,0.0010199,0.0010199,0.0010199
101,153.384,0.35048,0.32809,0.86383,0.4569,0.88363,0.59102,0.41983,1.06169,1.63998,1.26917,0.00101,0.00101,0.00101
102,154.841,0.36576,0.3569,0.83546,0.49984,0.75,0.62263,0.44341,1.09992,1.70831,1.31059,0.0010001,0.0010001,0.0010001
103,156.27,0.35307,0.35028,0.84351,0.4792,0.75,0.61134,0.42529,1.11353,1.63461,1.31739,0.0009902,0.0009902,0.0009902
104,157.731,0.36892,0.35373,0.84354,0.53049,0.84749,0.67904,0.48904,1.10207,1.40583,1.29283,0.0009803,0.0009803,0.0009803
105,159.214,0.35425,0.34477,0.85906,0.48357,0.9,0.71302,0.49951,1.07484,1.30484,1.27371,0.0009704,0.0009704,0.0009704
106,160.997,0.3678,0.34258,0.85173,0.5815,0.7,0.70958,0.49431,1.06826,1.26997,1.23915,0.0009605,0.0009605,0.0009605
107,162.45,0.33518,0.31751,0.8594,0.55328,0.75,0.7176,0.49559,1.11129,1.2958,1.284,0.0009506,0.0009506,0.0009506
108,163.93,0.35897,0.34321,0.86078,0.58186,0.65,0.67024,0.45807,1.1028,1.42089,1.28727,0.0009407,0.0009407,0.0009407
109,165.466,0.36812,0.35539,0.86708,0.51456,0.85,0.69327,0.47902,1.06154,1.45919,1.25706,0.0009308,0.0009308,0.0009308
110,166.995,0.35156,0.34423,0.84818,0.58287,0.83872,0.69033,0.4596,1.08538,1.55494,1.26709,0.0009209,0.0009209,0.0009209
111,168.494,0.34416,0.33681,0.83115,0.69363,0.7,0.70573,0.48474,1.18323,1.30986,1.33748,0.000911,0.000911,0.000911
112,169.901,0.34143,0.33807,0.86219,0.69884,0.65,0.64633,0.43755,1.22646,1.38888,1.35095,0.0009011,0.0009011,0.0009011
113,171.4,0.36148,0.33863,0.87257,0.53241,0.8,0.57202,0.39705,1.27233,1.56885,1.38903,0.0008912,0.0008912,0.0008912
114,172.876,0.35243,0.35702,0.84921,0.47047,0.85,0.5456,0.40344,1.10971,1.51733,1.28464,0.0008813,0.0008813,0.0008813
115,174.376,0.33142,0.31741,0.83751,0.45401,0.85,0.51565,0.3739,1.00594,1.44686,1.21748,0.0008714,0.0008714,0.0008714
116,175.867,0.37796,0.35274,0.88041,0.51617,0.74688,0.52343,0.36036,1.06928,1.40065,1.27851,0.0008615,0.0008615,0.0008615
117,177.291,0.35818,0.33797,0.86263,0.44544,0.9,0.45243,0.29985,1.13596,1.55754,1.34728,0.0008516,0.0008516,0.0008516
118,178.735,0.3504,0.33245,0.86864,0.38672,0.75683,0.45156,0.29618,1.15123,1.72517,1.3374,0.0008417,0.0008417,0.0008417
119,180.215,0.32701,0.32464,0.83034,0.40724,0.8,0.4428,0.28241,1.24742,1.78198,1.37584,0.0008318,0.0008318,0.0008318
120,181.92,0.31402,0.29996,0.84277,0.41622,0.75,0.45955,0.29928,1.21597,1.70818,1.35595,0.0008219,0.0008219,0.0008219
121,183.426,0.32269,0.32749,0.85294,0.41775,0.85,0.50243,0.35407,1.08866,1.49255,1.27084,0.000812,0.000812,0.000812
122,184.922,0.36165,0.31676,0.85686,0.46916,0.9,0.52961,0.37745,1.06181,1.4435,1.21954,0.0008021,0.0008021,0.0008021
123,186.455,0.32464,0.31127,0.8443,0.50808,0.9,0.53644,0.39287,0.98717,1.36687,1.18313,0.0007922,0.0007922,0.0007922
124,187.929,0.33572,0.30539,0.8353,0.56384,0.84055,0.55767,0.40178,1.00359,1.36369,1.19028,0.0007823,0.0007823,0.0007823
125,189.453,0.31856,0.30784,0.83587,0.52649,0.9,0.54264,0.40179,1.08092,1.3,1.25683,0.0007724,0.0007724,0.0007724
126,190.857,0.33915,0.31048,0.83122,0.5094,0.9,0.52092,0.34493,1.15905,1.37269,1.35457,0.0007625,0.0007625,0.0007625
127,192.35,0.37136,0.33159,0.8938,0.49,0.81701,0.50181,0.3217,1.22047,1.53922,1.36876,0.0007526,0.0007526,0.0007526
128,193.828,0.35408,0.308,0.84938,0.40887,0.85,0.43604,0.26795,1.30791,1.73299,1.44161,0.0007427,0.0007427,0.0007427
129,195.265,0.35777,0.31036,0.84902,0.44819,0.65,0.43585,0.27509,1.35835,2.0378,1.49973,0.0007328,0.0007328,0.0007328
130,196.757,0.35973,0.35409,0.88756,0.42863,0.65,0.4591,0.30698,1.26312,2.06191,1.43235,0.0007229,0.0007229,0.0007229
131,198.265,0.33909,0.30215,0.8456,0.47352,0.65,0.48212,0.3212,1.13312,1.8133,1.3154,0.000713,0.000713,0.000713
132,199.784,0.32301,0.30228,0.85483,0.51011,0.7,0.52191,0.35215,1.10758,1.70192,1.28868,0.0007031,0.0007031,0.0007031
133,201.319,0.30669,0.29791,0.85014,0.53965,0.7,0.49904,0.35281,1.06581,1.62807,1.25604,0.0006932,0.0006932,0.0006932
134,203.064,0.27925,0.26945,0.82043,0.48921,0.7,0.48583,0.36787,1.09921,1.53521,1.27511,0.0006833,0.0006833,0.0006833
135,204.553,0.34546,0.31452,0.8412,0.50309,0.7,0.51738,0.37272,1.16022,1.53552,1.32725,0.0006734,0.0006734,0.0006734
136,206.059,0.30834,0.29781,0.83708,0.48153,0.74321,0.49473,0.35944,1.12298,1.49457,1.3052,0.0006635,0.0006635,0.0006635
137,207.531,0.30549,0.29266,0.82582,0.51144,0.75,0.51351,0.35277,1.1141,1.46465,1.29199,0.0006536,0.0006536,0.0006536
138,209.031,0.31439,0.29079,0.8463,0.51416,0.75,0.53235,0.38486,1.05956,1.49196,1.26367,0.0006437,0.0006437,0.0006437
139,210.507,0.3028,0.28755,0.84138,0.48445,0.8,0.54734,0.40926,1.0178,1.44484,1.25485,0.0006338,0.0006338,0.0006338
140,212.008,0.35226,0.31914,0.86472,0.5538,0.75,0.54675,0.39033,1.07137,1.39741,1.322,0.0006239,0.0006239,0.0006239
141,213.539,0.31573,0.29515,0.84695,0.53801,0.75,0.56342,0.37997,1.16882,1.4812,1.3885,0.000614,0.000614,0.000614
142,215.042,0.31586,0.29593,0.83769,0.64675,0.64117,0.55814,0.36464,1.23811,1.66601,1.44489,0.0006041,0.0006041,0.0006041
143,216.488,0.33931,0.31715,0.87077,0.64943,0.65,0.54038,0.35793,1.19471,1.60855,1.43069,0.0005942,0.0005942,0.0005942
144,217.961,0.31048,0.28161,0.84303,0.64693,0.64167,0.53872,0.35988,1.17826,1.53031,1.41685,0.0005843,0.0005843,0.0005843
145,219.456,0.31036,0.28853,0.81813,0.59016,0.64807,0.51543,0.33916,1.23299,1.663,1.44657,0.0005744,0.0005744,0.0005744
146,220.909,0.30736,0.28828,0.82635,0.61583,0.64155,0.52334,0.34328,1.27672,1.86013,1.47135,0.0005645,0.0005645,0.0005645
147,222.414,0.31588,0.2945,0.8271,0.59831,0.59598,0.51465,0.33698,1.2457,1.74686,1.41726,0.0005546,0.0005546,0.0005546
148,224.211,0.2945,0.27149,0.83552,0.61662,0.6,0.59329,0.39765,1.16038,1.6017,1.35922,0.0005447,0.0005447,0.0005447
149,225.684,0.30137,0.28443,0.8129,0.53786,0.64046,0.60241,0.42497,1.06247,1.5204,1.29825,0.0005348,0.0005348,0.0005348
150,227.141,0.32874,0.2912,0.86275,0.48172,0.7,0.55903,0.39881,1.06495,1.58603,1.28374,0.0005249,0.0005249,0.0005249
151,228.604,0.31756,0.29668,0.85147,0.49438,0.7,0.50281,0.3747,1.01609,1.63137,1.25016,0.000515,0.000515,0.000515
152,230.107,0.29049,0.27174,0.81071,0.53298,0.65,0.52276,0.39059,0.95648,1.63457,1.20087,0.0005051,0.0005051,0.0005051
153,231.632,0.2896,0.28654,0.82213,0.46866,0.85,0.53205,0.40246,0.96708,1.67375,1.2093,0.0004952,0.0004952,0.0004952
154,233.114,0.31687,0.30508,0.86585,0.49405,0.75,0.52518,0.41072,0.92658,1.62802,1.1984,0.0004853,0.0004853,0.0004853
155,234.599,0.28782,0.30798,0.82352,0.53939,0.6,0.53654,0.40919,0.99559,1.70503,1.22498,0.0004754,0.0004754,0.0004754
156,236.113,0.28061,0.2815,0.82519,0.53792,0.6,0.54747,0.41828,1.02359,1.78683,1.27755,0.0004655,0.0004655,0.0004655
157,237.627,0.27931,0.26854,0.82633,0.46437,0.8,0.55546,0.43171,1.01091,1.69715,1.25999,0.0004556,0.0004556,0.0004556
158,239.077,0.28075,0.26254,0.82486,0.49282,0.82632,0.56064,0.44107,1.0596,1.71054,1.27884,0.0004457,0.0004457,0.0004457
159,240.539,0.27062,0.2631,0.82552,0.50756,0.8,0.58332,0.44758,1.09958,1.7915,1.28836,0.0004358,0.0004358,0.0004358
160,242,0.29084,0.28007,0.83423,0.57012,0.79587,0.57822,0.432,1.07397,1.75372,1.23961,0.0004259,0.0004259,0.0004259
161,243.478,0.31,0.33107,0.84607,0.56845,0.79062,0.53457,0.39642,1.04399,1.73816,1.22506,0.000416,0.000416,0.000416
162,245.2,0.28651,0.26805,0.84591,0.51701,0.80293,0.49916,0.37894,1.05223,1.83758,1.24556,0.0004061,0.0004061,0.0004061
163,246.63,0.26299,0.25403,0.81132,0.5026,0.70755,0.4676,0.33383,1.15358,1.95707,1.31402,0.0003962,0.0003962,0.0003962
164,248.075,0.25442,0.25902,0.81294,0.49464,0.75,0.47909,0.33867,1.19783,2.001,1.35678,0.0003863,0.0003863,0.0003863
165,249.502,0.30073,0.29958,0.85793,0.56772,0.75,0.51217,0.36034,1.13849,1.90401,1.31689,0.0003764,0.0003764,0.0003764
166,250.983,0.25735,0.27564,0.83208,0.49126,0.75,0.44588,0.32244,1.1525,1.87255,1.31858,0.0003665,0.0003665,0.0003665
167,252.461,0.27615,0.26065,0.8249,0.51001,0.75,0.47177,0.34966,1.153,1.83911,1.31026,0.0003566,0.0003566,0.0003566
168,253.921,0.24853,0.24129,0.79823,0.51245,0.75,0.50082,0.34906,1.16449,1.8072,1.33022,0.0003467,0.0003467,0.0003467
169,255.382,0.25249,0.25137,0.81259,0.47353,0.8,0.53913,0.37736,1.13482,1.77793,1.32637,0.0003368,0.0003368,0.0003368
170,256.907,0.28247,0.26217,0.86069,0.52776,0.85,0.56632,0.4096,1.13212,1.75979,1.33823,0.0003269,0.0003269,0.0003269
171,258.394,0.25362,0.24459,0.82462,0.49813,0.85,0.54107,0.40016,1.10627,1.81091,1.32132,0.000317,0.000317,0.000317
172,259.927,0.27199,0.2631,0.82706,0.52226,0.85,0.55029,0.40118,1.11895,1.8139,1.31399,0.0003071,0.0003071,0.0003071
173,261.43,0.25646,0.2669,0.82096,0.53725,0.85,0.52903,0.38875,1.12179,1.80782,1.3076,0.0002972,0.0002972,0.0002972
174,262.923,0.24584,0.25266,0.79258,0.52477,0.85,0.52691,0.38178,1.09765,1.78502,1.2959,0.0002873,0.0002873,0.0002873
175,264.387,0.24983,0.2481,0.8327,0.50396,0.85,0.54761,0.41301,1.07277,1.75052,1.28246,0.0002774,0.0002774,0.0002774
176,266.146,0.24611,0.24115,0.82416,0.53466,0.75,0.53196,0.40913,1.05829,1.75667,1.27809,0.0002675,0.0002675,0.0002675
177,267.587,0.26065,0.2485,0.83517,0.5518,0.75,0.54008,0.40313,1.02548,1.80294,1.26704,0.0002576,0.0002576,0.0002576
178,269.072,0.25947,0.2488,0.81691,0.55223,0.75,0.52387,0.39619,1.00417,1.77909,1.25523,0.0002477,0.0002477,0.0002477
179,270.64,0.26413,0.25604,0.83822,0.54956,0.75,0.49575,0.37117,0.93812,1.67981,1.18927,0.0002378,0.0002378,0.0002378
