epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,41.8606,0.86333,2.27171,1.18156,0.26366,0.23508,0.19449,0.13783,1.31063,2.92503,1.42521,0.000880023,0.000880023,0.000880023
65,42.467,0.91952,2.30439,1.30722,0.26366,0.23508,0.19449,0.13783,1.31063,2.92503,1.42521,0.000876357,0.000876357,0.000876357
66,43.2363,0.91651,2.33186,1.27054,0.43973,0.22988,0.19698,0.13892,1.30989,2.91789,1.4338,0.000872691,0.000872691,0.000872691
67,43.822,0.82188,2.14511,1.18201,0.43973,0.22988,0.19698,0.13892,1.30989,2.91789,1.4338,0.000869024,0.000869024,0.000869024
68,44.4321,0.89068,2.32865,1.24864,0.43299,0.25068,0.20006,0.13581,1.31417,2.88964,1.4204,0.000865358,0.000865358,0.000865358
69,45.0287,0.86847,2.17176,1.21464,0.43299,0.25068,0.20006,0.13581,1.31417,2.88964,1.4204,0.000861692,0.000861692,0.000861692
70,45.6621,0.75726,1.9803,1.14275,0.43573,0.27205,0.19712,0.13398,1.30293,2.87106,1.41573,0.000858025,0.000858025,0.000858025
71,46.2274,0.94684,2.39017,1.28082,0.43573,0.27205,0.19712,0.13398,1.30293,2.87106,1.41573,0.000854359,0.000854359,0.000854359
72,46.8546,0.81977,2.04246,1.17312,0.4303,0.25031,0.19687,0.13425,1.30875,2.86005,1.42703,0.000850693,0.000850693,0.000850693
73,47.4292,0.89687,2.16827,1.27844,0.4303,0.25031,0.19687,0.13425,1.30875,2.86005,1.42703,0.000847026,0.000847026,0.000847026
74,48.0344,0.84154,2.0674,1.21447,0.47972,0.23143,0.19689,0.13468,1.29723,2.86945,1.41502,0.00084336,0.00084336,0.00084336
75,48.7445,0.9286,2.25233,1.23019,0.47972,0.23143,0.19689,0.13468,1.29723,2.86945,1.41502,0.000839694,0.000839694,0.000839694
76,49.3467,0.9439,2.06406,1.25733,0.47704,0.24151,0.20546,0.13073,1.29563,2.87953,1.40517,0.000836027,0.000836027,0.000836027
77,49.9478,0.93936,2.16563,1.26048,0.47704,0.24151,0.20546,0.13073,1.29563,2.87953,1.40517,0.000832361,0.000832361,0.000832361
78,50.588,0.87614,2.33331,1.19145,0.47248,0.24386,0.19007,0.12095,1.30761,2.88206,1.40548,0.000828695,0.000828695,0.000828695
79,51.2406,0.92813,2.13125,1.25018,0.47248,0.24386,0.19007,0.12095,1.30761,2.88206,1.40548,0.000825029,0.000825029,0.000825029
80,51.8439,0.88963,2.16551,1.27171,0.23444,0.25031,0.18736,0.11908,1.29936,2.87367,1.40277,0.000821362,0.000821362,0.000821362
81,52.4391,0.94389,2.13948,1.30655,0.23444,0.25031,0.18736,0.11908,1.29936,2.87367,1.40277,0.000817696,0.000817696,0.000817696
82,53.0616,0.82367,2.11274,1.21797,0.23781,0.25031,0.1855,0.12007,1.31715,2.86016,1.40424,0.00081403,0.00081403,0.00081403
83,53.6495,0.77264,1.91043,1.17246,0.23781,0.25031,0.1855,0.12007,1.31715,2.86016,1.40424,0.000810363,0.000810363,0.000810363
84,54.4271,0.82993,2.10453,1.20319,0.2847,0.26781,0.20455,0.12918,1.33998,2.83582,1.41272,0.000806697,0.000806697,0.000806697
85,55.0354,0.81487,1.96618,1.18541,0.2847,0.26781,0.20455,0.12918,1.33998,2.83582,1.41272,0.000803031,0.000803031,0.000803031
86,55.6676,0.77698,1.87741,1.11255,0.29579,0.26807,0.20232,0.12697,1.35144,2.84115,1.41377,0.000799365,0.000799365,0.000799365
87,56.2736,0.79594,1.95182,1.19761,0.29579,0.26807,0.20232,0.12697,1.35144,2.84115,1.41377,0.000795698,0.000795698,0.000795698
88,56.8928,0.88036,2.01536,1.234,0.26417,0.28194,0.22543,0.13173,1.3729,2.8438,1.42103,0.000792032,0.000792032,0.000792032
89,57.4857,0.81648,1.94616,1.16131,0.26417,0.28194,0.22543,0.13173,1.3729,2.8438,1.42103,0.000788366,0.000788366,0.000788366
90,58.0914,0.92111,2.11516,1.24281,0.32465,0.28691,0.22314,0.13685,1.37527,2.85927,1.42241,0.000784699,0.000784699,0.000784699
91,58.6723,0.78507,1.90507,1.11528,0.32465,0.28691,0.22314,0.13685,1.37527,2.85927,1.42241,0.000781033,0.000781033,0.000781033
92,59.2755,0.84757,2.00598,1.19381,0.30878,0.28826,0.21922,0.13644,1.35063,2.83514,1.40786,0.000777367,0.000777367,0.000777367
93,60.0005,0.70884,1.85072,1.13468,0.30878,0.28826,0.21922,0.13644,1.35063,2.83514,1.40786,0.0007737,0.0007737,0.0007737
94,60.6015,0.90808,2.06895,1.24944,0.34491,0.2836,0.22084,0.14005,1.33717,2.81389,1.40154,0.000770034,0.000770034,0.000770034
95,61.2044,0.88036,2.01745,1.26715,0.34491,0.2836,0.22084,0.14005,1.33717,2.81389,1.40154,0.000766368,0.000766368,0.000766368
96,61.7839,0.77432,2.02906,1.21467,0.34987,0.29471,0.22127,0.15017,1.34404,2.81996,1.40392,0.000762702,0.000762702,0.000762702
97,62.4076,0.85467,1.95217,1.20465,0.34987,0.29471,0.22127,0.15017,1.34404,2.81996,1.40392,0.000759035,0.000759035,0.000759035
98,63.016,0.80256,1.89038,1.18445,0.36856,0.28826,0.22874,0.15268,1.35298,2.82605,1.40934,0.000755369,0.000755369,0.000755369
